from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000226173,Q03518,TAP1,TAP1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000186376,P51815,ZNF75D,ZNF75D,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000235758,Q99943,AGPAT1,AGPAT1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000226788,Q06587,RING1,RING1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000099337,Q9Y257,KCNK6,KCNK6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000187556,P60323,NANOS3,NANOS3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000168517,Q96MH2,HEXIM2,HEXIM2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000176956,O94772,LY6H,LY6H,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000138668,Q14103,HNRNPD,HNRNPD,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000234530,Q9UBC1,NFKBIL1,NFKBIL1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000132016,Q0VDD7,BRME1,BRME1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000277494,Q8IV16,GPIHBP1,GPIHBP1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000165359,Q5JSJ4,INTS6L,INTS6L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000225452,Q99942,RNF5,RNF5,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000181638,Q8N8Y5,ZFP41,ZFP41,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000186297,P31644,GABRA5,GABRA5,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000103512,Q15155,NOMO1,NOMO1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000224960,Q6ZMV5,PPP4R3C,PPP4R3C,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000130385,O95972,BMP15,BMP15,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000139613,Q8TAQ2,SMARCC2,SMARCC2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000226936,O96024,B3GALT4,B3GALT4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000137197,Q15517,CDSN,CDSN,NA,from_to,RNA_to_Protein,RNA,Protein
