from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000264566,ENSG00000162599,hsa-mir-23c,NFIA,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207931,ENSG00000067560,hsa-mir-577,RHOA,0.97,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000263785,ENSG00000163349,hsa-mir-3182,HIPK1,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000177565,hsa-mir-548n,TBL1XR1,0.95,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000125505,hsa-mir-2110,MBOAT7,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000100354,hsa-mir-548n,TNRC6B,0.89,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000148200,hsa-mir-23c,NR6A1,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000183579,hsa-mir-641,ZNRF3,0.89,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000139977,hsa-mir-940,NAA30,0.86,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283799,ENSG00000277586,hsa-mir-1182,NEFL,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000204920,hsa-mir-23c,ZNF155,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000136100,hsa-mir-3611,VPS36,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000265520,ENSG00000099246,hsa-mir-548v,RAB18,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000275066,hsa-mir-940,SYNRG,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000136997,hsa-mir-1827,MYC,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000054598,hsa-mir-133b,FOXC1,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000101115,hsa-mir-765,SALL4,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000102081,hsa-mir-448,FMR1,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000103005,hsa-mir-765,USB1,0.86,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000105866,hsa-mir-765,SP4,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000216192,ENSG00000106344,hsa-mir-920,RBM28,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000108256,hsa-mir-641,NUFIP2,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000108840,hsa-mir-765,HDAC5,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000116731,hsa-mir-765,PRDM2,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000198976,ENSG00000131873,hsa-mir-429,CHSY1,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000132953,hsa-mir-765,XPO4,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000198976,ENSG00000134294,hsa-mir-429,SLC38A2,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000135679,hsa-mir-557,MDM2,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000113712,hsa-mir-765,CSNK1A1,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000202566,ENSG00000070770,hsa-mir-421,CSNK2A2,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000110400,hsa-mir-765,NECTIN1,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000109171,hsa-mir-448,SLAIN2,0.85,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000075426,hsa-mir-765,FOSL2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000105556,hsa-mir-765,MIER2,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000091009,hsa-mir-765,RBM27,0.85,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207692,ENSG00000065361,hsa-mir-592,ERBB3,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000213064,hsa-mir-765,SFT2D2,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000202566,ENSG00000148143,hsa-mir-421,ZNF462,0.97,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000151422,hsa-mir-557,FER,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000198976,ENSG00000155903,hsa-mir-429,RASA2,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000087088,hsa-mir-765,BAX,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000162139,hsa-mir-765,NEU3,0.93,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000216192,ENSG00000131711,hsa-mir-920,MAP1B,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000198976,ENSG00000165410,hsa-mir-429,CFL2,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000165832,hsa-mir-641,TRUB1,0.94,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000166068,hsa-mir-448,SPRED1,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207692,ENSG00000166886,hsa-mir-592,NAB2,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000105750,hsa-mir-557,ZNF85,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000089154,hsa-mir-765,GCN1,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000167978,hsa-mir-765,SRRM2,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000170759,hsa-mir-641,KIF5B,0.87,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000168374,hsa-mir-557,ARF4,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000110066,hsa-mir-557,KMT5B,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000171103,hsa-mir-641,TRMT61B,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
